28.316921234027884,-2.2951673306635922,11.580204412935856|1.3429999999999993|0,5.17152353166054,0
63.242949506251946,-2.284665259762944,16.01474113915577|1.1679999999999968|0,311.6731140736902,0
13.067865949479184,-2.8303079194354943,41.97188124267694|0.971|0,74.0987756219957,0
12.296991885855991,-2.8358812164863068,42.08441824438999|1.001|0,51.132398490676835,0
12.043559008506865,-2.8313724994659433,41.422461182373695|0.981|0,-2.736180888533106,0
54.21560978595272,-2,37.9427445816315|0.959|0,146,0
53.71982510673569,-2,37.89519439599398|0.8209999999999998|0,-130,0
53.18031161723198,-2,37.92708155794388|0.8679999999999999|0,-47,0
52.49205226713512,-2,37.81883453295672|1|0,-172,0
51.82199513158981,-2.0000000000000004,37.86831217963721|1|0,-50,0
51.159366708780084,-2,37.72166307449268|1|0,-112,0
