25.20431711587924,-2.28555784980963,11.227748562379503|0.9429999999999972|0,180.9816708262357,0
26.177028877273756,-2.2823529243469234,9.301140895983632|0.943|0,95.54203927357509,0
23.970371846383696,-2.285050803035054,7.8576366635136905|0.997|0,136.5584136387497,0
25.750789278431895,-2.290195941925049,13.203476416157775|0.997|0,169.65609618358332,0
21.461157333059052,-2.282352924346924,15.218957334027502|0.8019999999999995|0,354.9658692768444,0
21.04000217098725,-2.282352924346924,15.367540805628494|0.8809999999999999|0,82.67513290694754,0
17.03674002028712,-2.286380671837781,15.756772820584398|0.948|0,250.65445935564244,0
14.391723646144651,-2.2823529243469247,13.56122098814952|0.966|0,174.52784484682547,0
14.910776555169129,-2.282352924346924,13.283322428474737|0.987|0,142.92432633110087,0
14.445788714317654,-2.282352924346924,13.106132009999977|1.0379999999999978|0,-94.07795709626484,0
12.682621252836618,-2.282352924346924,9.035131483428474|0.978|0,314.7619713999932,0
12.101792437113295,-2.301092197600026,8.975168335558125|0.995|0,318.1940712943623,0
11.657966347641217,-2.3112476058139775,9.467966796079413|1.008999999999999|0,279.89756221737963,0
12.002986688321197,-2.3135380714562257,10.033832071078209|0.9279999999999999|0,280.4816478185197,0
12.508438279120881,-2.2823529243469243,10.213583204923452|0.971|0,7.557774381207327,0
12.583837594639242,-2.282352924346924,9.5252034977569|0.985|0,272.7060436667425,0
