18.75,-2.2823529243469243,15|0.34|0,0,0
16.52,-2.2823529243469247,15.2|0.34|0,270,0
14.12,-2.282352924346924,15.2|0.34|0,270,0
13.95,-2.2823529243469243,12.968|0.34|0,180,0
66,-2.3,7.3|0.5|0,90,0
62.5,-2.3,7.3|0.5|0,90,0
59,-2.3,7.3|0.5|0,90,0
24.5,-2.8235292434692383,34.22|0.3572|0,90,0
22,-2.8235292434692383,34.22|0.3572|0,90,0
19.5,-2.8235292434692383,34.22|0.3572|0,90,0
17,-2.8235292434692387,34.22|0.3572|0,90,0
24.691,-2.8235292434692383,36.55|0.3572|0,0,0
24.691,-2.8235292434692383,41.5|0.3572|0,0,0
49.47589253667938,-2,40.69247281737788|0.45|0,-180,0
49.47598709149545,-2,37.507782312127276|0.45|0,-180,0
49.71921859405533,-2,43.65519149000753|0.45|0,-93,0
52.89172746291785,-1.9999999999999998,43.78885306426672|0.45|0,-85,0
13.332123010957886,-3.5999999046325684,69.06148979783327|0.45|0,-180,0
13.328252008326915,-3.6080107582485166,64.24465402577182|0.45|0,-180,0
13.58521840136711,-3.5999999046325684,72.10852608214316|0.45|0,-119,0
16.480371991339524,-3.604286983339273,73.56832532096062|0.45|0,-91,0
68.5,-3.2862744331359863,73.7|0.3572|0,-90,0
66,-3.2862744331359863,73.7|0.3572|0,-90,0
63.5,-3.2862744331359868,73.7|0.3572|0,-90,0
61,-3.2862744331359868,73.7|0.3572|0,-90,0
58.5,-3.2862744331359863,73.7|0.3572|0,-90,0
56,-3.2862744331359863,73.7|0.3572|0,-90,0
53.5,-3.3111711224792524,73.7|0.3572|0,-90,0
51,-3.2862744331359863,73.7|0.3572|0,-90,0
48.5,-3.2862744331359863,73.7|0.3572|0,-90,0
