1.9228923724512805,-3.9175469923183193,3.334834432655084|0.1|0,78.34001908413502,0
18.32549583261326,-3.567896845363179,2.7218629751145933|0.1|0,236.71582044017836,0
35.67937817704266,-3.9819122341669604,3.5118440750989013|0.1|0,101.63914957777335,0
43.51924513986485,-3.999698110882697,2.9850946952304844|0.1|0,241.69798691255812,0
55.41520363333065,-3.3844743727041298,2.406549721754506|0.1|0,129.7405421497594,0
62.72464455890015,-3.2389272554427713,2.7320104491028867|0.1|0,104.15273982974826,0
77.64151570921493,-3.8756881687266613,2.245606694940231|0.1|0,270.683205270054,0
77.58696106917367,-3.8931775649155433,19.7486369665747|0.1|0,124.6406145627435,0
72.10159819468109,-3.4871346481012893,10.73511788154322|0.1|0,302.42234137523275,0
43.41360027362642,-3.3644713749208535,19.173777490369467|0.1|0,171.56932180905605,0
33.9814817143277,-2.6870795085285977,10.94318946715335|0.1|0,301.92251372384754,0
27.065639604531746,-2.5467917292495166,5.30517992551656|0.1|0,42.06350438689883,0
65.20484248533273,-3.8742799778732007,30.036760306335818|0.1|0,165.80346444009,0
42.817051052638895,-4.0000000000000036,29.986320290044517|0.1|0,337.1986712147956,0
36.46723670627238,-4,30.43539659976186|0.1|0,200.21978241848583,0
30.25119897971728,-3.0766581890335907,38.13456363728122|0.1|0,307.98749238248536,0
36.36188782190776,-4,50.21488534001601|0.1|0,221.99085263042676,0
2.3490942200021436,-3.987856527256522,50.51382404345607|0.1|0,93.87594292099908,0
2.4064134545264935,-4,30.063068111646864|0.1|0,103.68349693460414,0
7.176167914455341,-3.065569027193824,34.748058019916755|0.1|0,115.13248532681926,0
42.992040548099375,-3.9312758016860343,38.4209588859016|0.1|0,61.85501009893716,0
72.44369943956403,-2.927092570163655,37.8072341760315|0.1|0,200.79265408669616,0
77.60652986794864,-3.7759218284050426,50.75508900518982|0.1|0,276.004516723476,0
77.52496825884025,-3.957737208383257,62.87093014928567|0.1|0,145.06301215003248,0
43.39786705732352,-3.717829236158483,62.152960897318536|0.1|0,93.44347912032175,0
77.83019743714036,-3.7046170904598554,76.86572918654382|0.1|0,176.95096545972834,0
42.52166106800175,-3.992156744003296,76.76463574503374|0.1|0,70.74041123112511,0
44.89975399536965,-3.3662977009524937,69.697944537609|0.1|0,129.04176576395037,0
51.0069283908336,-3.3546841910277116,61.284721318512936|0.1|0,296.96399956382663,0
36.35587718664462,-3.9372741660532746,62.639077947561475|0.1|0,323.7115330587414,0
36.27490179756533,-3.9964689943478113,77.12307533068967|0.1|0,98.50794336977279,0
7.485533467717625,-2.5792580593223775,13.294766395309532|0.1|0,40.47735520902038,0
2.450539433806675,-3.9022676385055632,61.825912616617714|0.1|0,337.6234960814665,0
6.209475872412375,-3.448174195817753,68.48317839173278|0.1|0,343.6335509377996,0
29.67186476615342,-3.354166824716497,69.08646828247909|0.1|0,204.93203769342097,0
28.775469548527163,-3.4905021519303716,64.022011051088|0.1|0,334.62353603247027,0
62.334163911758466,-2.2823529243469234,13.957280399038734|0.45999999999999996|0,234.80483129235654,0
